ano;tipo_atividade;titulo;data_inicio;data_fim;coordenador;area_tematica;situacao;tipo_projeto;bolsas_solicitadas;bolsas_concedidas;publico_interno;bolsas_edital;numero_edital;edital;municipio
2015;EVENTO;O Mundo do Trabalho e suas Inflexões: fórum permanente de debates;2015-11-04;2015-11-06;ANA PATRICIA DIAS SALES;TRABALHO;CONCLUÍDA;EXTENSÃO;1;0;50;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;O Novo Código de Processo Civil;2015-05-07;2015-05-08;ANA BEATRIZ FERREIRA REBELLO;DIREITOS HUMANOS E JUSTIÇA;CONCLUÍDA;EXTENSÃO;0;0;250;;;;
2015;EVENTO;O outro impossível:homoeroticidades ameríndias no século XXI;2015-03-20;2015-03-20;ALIPIO DE SOUSA FILHO;DIREITOS HUMANOS E JUSTIÇA;CONCLUÍDA;EXTENSÃO;0;0;100;;;;
2015;EVENTO;O Papel do Estado: Entre Rayek e Piketty;2015-05-29;2015-05-29;THOMAS KEFAS DE SOUZA DANTAS;DIREITOS HUMANOS E JUSTIÇA;CONCLUÍDA;EXTENSÃO;0;0;100;;;;
2015;EVENTO;O PEDAGOGO NA CONTEMPORANEIDADE: A EDUCAÇÃO PRISIONAL EM FOCO;2015-05-13;2015-05-14;CHRISTIANNE MEDEIROS CAVALCANTE;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;40;;;;
2015;EVENTO;O rádio: estudando e conhecendo a importância desse instrumento de comunicação;2015-11-17;2015-12-11;PATRICIA LUCIA GALVAO DA COSTA;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;30;;;;
2015;EVENTO;O SER nutricionista: comemorando o dia 31 de agosto com espaços e mentes abertas para o SABER.;2015-08-31;2015-08-31;GINETTA KELLY DANTAS AMORIM;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;100;;;;
2015;EVENTO;Os Pronunciamentos Jurisdicionais e Recursos no Novo CPC;2015-04-17;2015-04-17;PAULO RENATO GUEDES BEZERRA;DIREITOS HUMANOS E JUSTIÇA;CONCLUÍDA;EXTENSÃO;0;0;120;;;;
2015;EVENTO;O TRABALHO DE CONCLUSÃO DE CURSO: TIPOLOGIAS E DESAFIOS;2015-03-04;2015-03-06;IAPONY RODRIGUES GALVAO;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;90;;;;
2015;EVENTO;O Uso do Portal Directa da Secretaria Municipal de Tributação de Natal como instrumento de acesso aos serviços oferecidos ao contribuinte.;2015-10-28;2015-10-28;EDMILSON JOVINO DE OLIVEIRA;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;50;;;;
